IndexNo,site_no,station_nm,state,huc_cd,LAT_GAGE,LNG_GAGE,LAT_CENT,LONG_CENT,DRNAREA,ELEV,BSHAPELFP,CSL1085LFP,I24H10Y,PRECPRIS00,SOILINDEX,LC11IMP,LC11DEV,LC11FOREST,LC11PAST,LC11CROP,LC11GRASS,LC11BARE,LC11SHRUB,LC11WATER,LC11WETLND,BegYear,EndYear,GagedPeaks,HistPks,SkewOption,EMAskewReg,EMAmean,EMAstDev,EMAskew,MSEskew,MSEgaged,RegSkew,MSEg,KENTAU,PVALUE,SENSLOPE,EMA2YR,EMA5YR,EMA10YR,EMA25YR,EMA50YR,EMA100YR,EMA200YR,EMA500YR,VARema2,VARema5,VARema10,VARema25,VARema50,VARema100,VARema200,VARema500,GLS2YR,GLS5YR,GLS10YR,GLS25YR,GLS50YR,GLS100YR,GLS200YR,GLS500YR,VARgls2,VARgls5,VARgls10,VARgls25,VARgls50,VARgls100,VARgls200,VARgls500,WT2YR,WT5YR,WT10YR,WT25YR,WT50YR,WT100YR,WT200YR,WT500YR,VARwt2,VARwt5,VARwt10,VARwt25,VARwt50,VARwt100,VARwt200,VARwt500,,,,,,,,,,,
11,2490700,"UNION CREEK NEAR TYLERTOWN, MISS.",MS,3180005,31.163511,-90.130089,31.190395,-90.159764,12.46,378,4.8,15.4,7.07,45.43,2.6,0.72,5.58,30.62,28.02,1.56,3.23,0,12.02,0.23,0.66,1877,1969,16,1,Weighted,-0.012,2.987,0.489,0.194,0.188,0.319,-0.08,0.221,-0.3,0.115,-66.904,974,2510,4110,6950,9750,13200,17500,24400,0.015,0.0144,0.0155,0.0188,0.023,0.0287,0.036,0.0483,1170,2290,3210,4550,5660,6860,8150,10000,0.034,0.0264,0.0261,0.0294,0.0327,0.036,0.0394,0.0459,1030,2430,3750,5890,7790,9870,12100,15400,0.0104,0.0093,0.0097,0.0115,0.0135,0.016,0.0188,0.0235,,,,,32104,58620,78871,106794,106794,,
12,2490750,"MCGEES CREEK AT TYLERTOWN, MISS.",MS,3180005,31.114901,-90.130088,31.239688,-90.10137,151.61,381,9.23,4.75,7.04,43.8,2.9,0.89,5.73,29.89,25.59,2.39,3.52,0.02,14.27,0.16,6.7,1900,1983,25,3,Weighted,-0.077,3.599,0.369,-0.06,0.22,0.211,-0.08,0.221,0.033,0.833,5,4020,8150,11700,17200,22000,27400,33400,42400,0.0063,0.0051,0.0062,0.0087,0.0113,0.0145,0.0184,0.0245,5020,10100,14300,20600,25900,31700,37900,47000,0.034,0.0264,0.0261,0.0294,0.0326,0.0359,0.0394,0.0458,4160,8430,12200,17900,22900,28600,34800,43900,0.0053,0.0043,0.005,0.0067,0.0084,0.0103,0.0125,0.016,,,,,,,,,,,
13,2491200,"SILVER CK NR CLIFTON, LA",LA,3180005,30.925181,-90.241757,31.006809,-90.30354,50.06,313,7.41,8.41,7.21,65.69,2.7,0.56,4.87,26.46,18.69,9.75,2.34,0.26,24.87,0.09,12.68,1966,1983,18,0,Weighted,-0.335,3.379,0.47,-0.767,0.225,0.349,-0.17,0.121,0.059,0.762,30,2540,6030,9170,14000,18100,22700,27700,35000,0.0128,0.0135,0.0171,0.024,0.0306,0.0382,0.047,0.0602,2660,5300,7520,10800,13500,16400,19600,24300,0.034,0.0264,0.0261,0.0294,0.0326,0.0359,0.0393,0.0458,2570,5770,8480,12400,15700,19200,23000,28400,0.0093,0.0089,0.0103,0.0132,0.0158,0.0185,0.0214,0.026,,,,,,,,,,,
14,2491350,"HAYS CK NR FRANKLINTON, LA",LA,3180005,30.88796,-90.191199,30.968363,-90.118865,41.3,295,10.52,8.89,7.28,65.47,2.5,0.51,5.14,22.16,22.36,3.55,2.95,0.09,26.99,0.13,16.63,1966,1986,21,0,Weighted,-0.258,3.302,0.441,-0.567,0.205,0.288,-0.17,0.121,-0.038,0.832,-32.833,2100,4760,7150,10800,14000,17600,21500,27200,0.01,0.0108,0.0142,0.0206,0.0267,0.0337,0.0417,0.0537,2360,4680,6620,9450,11800,14400,17200,21200,0.034,0.0264,0.026,0.0294,0.0326,0.0359,0.0393,0.0458,2160,4740,6960,10200,13000,16000,19100,23700,0.0077,0.0077,0.0092,0.0121,0.0147,0.0174,0.0202,0.0247,,,,,,,,,,,
15,2491500,"Bogue Chitto River at Franklinton, LA",LA,3180005,30.842962,-90.16203,31.237931,-90.281311,993.56,369,11.08,2.98,7.16,64.22,2.8,1.15,6.97,38.93,18.77,3.31,3.33,0.32,17.85,0.5,10.01,1900,2015,94,0,Weighted,-0.287,4.318,0.338,-0.376,0.072,0.076,-0.17,0.121,-0.038,0.588,-32.911,21600,40400,54900,75100,91100,108000,125000,150000,0.0013,0.0014,0.0017,0.0025,0.0034,0.0046,0.0062,0.0086,16700,35300,51700,76600,98000,122000,148000,186000,0.0345,0.0269,0.0265,0.0299,0.0332,0.0366,0.0401,0.0467,21400,40100,54700,75200,91700,109000,128000,155000,0.0013,0.0013,0.0016,0.0023,0.0031,0.0041,0.0054,0.0073,,,,,,,,,,,
16,2491600,WEST FK BURCH CREEK TRIB NR FRANKLINTON LA.,LA,3180005,30.894072,-90.133419,30.893581,-90.136377,0.08,273,3.8,59.42,7.33,66.09,2.8,0.36,8.05,19.02,24.15,0,0.92,0,37.58,0,10.27,1958,1967,10,0,Weighted,-0.103,1.444,0.084,1.08,0.637,0.637,-0.17,0.121,0.244,0.371,1,27.9,32.8,35.6,38.8,40.9,43,44.9,47.4,0.0015,0.0008,0.0009,0.0015,0.0022,0.003,0.004,0.0053,48.4,82.7,108,142,169,197,225,264,0.0351,0.0274,0.0271,0.0306,0.0339,0.0374,0.041,0.0478,28.5,33.7,36.9,41.2,44.6,48.1,51.8,56.3,0.0014,0.0008,0.0009,0.0014,0.0021,0.0028,0.0036,0.0048,,,,,,,,,,,
17,2491700,"LAWRENCE CK NR FRANKLINTON, LA",LA,3180005,30.861295,-90.115362,30.915183,-90.06772,44.34,271,5.49,8.89,7.33,65.6,2.4,0.52,5.27,19.62,17,5.24,3.24,0.11,30.8,0.12,18.62,1964,1983,20,0,Weighted,-0.18,3.568,0.367,-0.222,0.264,0.264,-0.17,0.121,0.095,0.581,106.538,3790,7570,10700,15400,19300,23600,28200,35000,0.0073,0.0082,0.011,0.0161,0.0209,0.0263,0.0325,0.0417,2480,4930,6990,10000,12500,15300,18200,22500,0.034,0.0264,0.0261,0.0294,0.0326,0.0359,0.0393,0.0458,3520,6840,9430,13200,16300,19600,23100,28300,0.006,0.0063,0.0077,0.0104,0.0127,0.0152,0.0178,0.0218,,,,,,,,,,,
18,2492200,"TALISHEEK CK @ TALISHEEK, LA",LA,3180004,30.537691,-89.87646,30.572521,-89.915702,17.53,76,5.49,4.63,7.52,65.13,3.2,0.3,3.1,37.9,3.35,6.68,2.29,0.13,30.8,0.18,15.57,1951,1965,15,0,Weighted,-0.131,2.801,0.322,0.096,0.461,0.329,-0.17,0.121,0.295,0.138,42.5,642,1180,1610,2230,2750,3300,3890,4740,0.0072,0.0085,0.0112,0.016,0.0204,0.0257,0.0316,0.0405,1100,1980,2670,3630,4390,5200,6050,7230,0.0342,0.0265,0.0262,0.0295,0.0328,0.0361,0.0396,0.0461,705,1340,1870,2650,3290,3990,4730,5770,0.0059,0.0064,0.0078,0.0104,0.0126,0.015,0.0176,0.0216,,,,,,,,,,,
19,2492343,"EAST HOBOLOCHITTO CREEK NR CAESAR, MS",MS,3180004,30.574167,-89.594722,30.716279,-89.564647,94,192,7.99,6.29,7.49,61.24,3,0.73,5.68,22.72,9.9,1.32,3.34,0.41,25.78,0.86,27.74,1997,2016,20,0,Weighted,-0.024,3.61,0.257,0.06,0.249,0.249,-0.08,0.221,-0.179,0.284,-106.176,4080,6700,8680,11400,13600,15900,18400,21900,0.0035,0.0046,0.0062,0.0093,0.0125,0.0163,0.0209,0.0281,3850,7730,11000,15800,19900,24300,29000,35900,0.034,0.0264,0.0261,0.0294,0.0326,0.0359,0.0394,0.0458,4060,6840,9080,12300,15100,18100,21600,26400,0.0032,0.0039,0.005,0.0071,0.009,0.0112,0.0137,0.0174,,,,,,,,,,,
20,2492360,"WEST HOBOLOCHITTO CREEK NR MCNEILL, MS",MS,3180004,30.662222,-89.686111,30.834354,-89.642735,175,201,9.37,4.91,7.17,68.28,3.2,0.28,2.35,27.08,13.11,3.62,2.78,0.11,24.08,1.42,23.26,1916,2016,51,0,Weighted,0.134,3.815,0.303,0.656,0.189,0.153,-0.08,0.221,0.064,0.516,17.027,6430,11700,16100,22900,28800,35500,43100,54700,0.002,0.0026,0.0037,0.006,0.0085,0.0117,0.0156,0.022,5590,11300,16200,23500,29600,36200,43500,54000,0.034,0.0265,0.0261,0.0295,0.0327,0.036,0.0394,0.0459,6380,11700,16100,23000,29000,35700,43200,54500,0.0019,0.0024,0.0032,0.005,0.0067,0.0088,0.0112,0.0149,,,,,,,,,,,
